銘柄コード,銘柄名称,銘柄略称
1301,極洋,極洋
1305,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,ｉＦＴＰＸ年１
1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,ＮＦＴＯＰＩＸ
1308,上場インデックスファンドＴＯＰＩＸ,上場ＴＰＸ
1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,ＮＦ中国株上証５０
1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,ＮＦＴＰＸ３０
1319,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,ＮＦ日経３００
1320,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,ｉＦ２２５年１
1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,ＮＦ日経２２５
1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,上場パンタ
1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,ＮＦブラジル株
1326,ＳＰＤＲゴールド・シェア,ＳＰＤＲゴール
1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,ＮＦ金価格
1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ,ｉＳ２２５
1330,上場インデックスファンド２２５,上場２２５
1332,ニッスイ,ニッスイ
1333,Ｕｍｉｏｓ,Ｕｍｉｏｓ
1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,ＮＦＪ－ＲＥＩＴ
1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,上場Ｊリート
1346,ＭＡＸＩＳ　日経２２５上場投信,ＭＸＳ２２５
1348,ＭＡＸＩＳ　トピックス上場投信,ＭＸＳトピクス
1349,ＡＢＦ汎アジア債券インデックス・ファンド,アジア債券
1356,ＴＯＰＩＸベア２倍上場投信,ＴＰダブルインバース
1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,ＮＦ日経ダブインバ
1358,上場インデックスファンド日経レバレッジ指数,上場日経２倍
1360,日経平均ベア２倍上場投信,ダブルインバース日経
1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,ｉＳＪＰＸ日経４００
1365,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,ｉＦ２２５ダブル
1366,ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス,ｉＦ２２５Ｗベア
1367,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数,ｉＦＴＰＸダブル
1368,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（－２倍）指数,ｉＦＴＰＸＷベア
1369,Ｏｎｅ　ＥＴＦ　日経２２５,Ｏｎｅ・日経２２５
1375,ユキグニファクトリー,ユキグニファクトリー
1376,カネコ種苗,カネコ種苗
1377,サカタのタネ,サカタのタネ
1379,ホクト,ホクト
1380,秋川牧園,秋川牧園
1381,アクシーズ,アクシーズ
1382,ホーブ,ホーブ
1383,ベルグアース,ベルグアース
1384,ホクリヨウ,ホクリヨウ
1397,ＳＭＤＡＭ　日経２２５上場投信,ＳＭＤＡＭ　２２５
1398,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,ＳＭＤＡＭ　Ｊリート
1399,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,上場高配当低ボラ
1401,エムビーエス,Ｇ－エムビーエス
1407,ウエストホールディングス,ウエストＨＤ
1414,ショーボンドホールディングス,ショーボンド
1417,ミライト・ワン,ミライト・ワン
1418,インターライフホールディングス,インターライフ
1419,タマホーム,タマホーム
1420,サンヨーホームズ,サンヨーＨ
1429,日本アクア,日本アクア
1430,ファーストコーポレーション,ファーストコーポ
1431,Ｌｉｂ　Ｗｏｒｋ,Ｇ－リブワーク
1432,動力,Ｐ－動力
1433,ベステラ,ベステラ
1434,ＪＥＳＣＯホールディングス,ＪＥＳＣＯ　ＨＤ
1435,ｒｏｂｏｔ　ｈｏｍｅ,ｒｏｂｏｔ　ｈｏｍｅ
1436,グリーンエナジー＆カンパニー,Ｇ－グリーンエナジー
1438,岐阜造園,岐阜造園
1443,技研ホールディングス,技研ホールディングス
1444,ニッソウ,Ｇ－ニッソウ
1445,ひかりホールディングス,Ｐ－ひかりＨＤ
1446,キャンディル,キャンディル
1447,ＳＡＡＦホールディングス,Ｇ－ＳＡＡＦＨＤ
1450,ＴＡＮＡＫＥＮ,ＴＡＮＡＫＥＮ
1452,横浜ライト工業,Ｐ－横浜ライト工業
1456,ｉＦｒｅｅＥＴＦ　日経平均インバース・インデックス,ｉＦ２２５ベア
1457,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸインバース（－１倍）指数,ｉＦＴＰＸベア
1458,楽天ＥＴＦ‐日経レバレッジ指数連動型,楽天２２５ダブルブル
1459,楽天ＥＴＦ‐日経ダブルインバース指数連動型,楽天２２５ダブルベア
1466,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００ダブルインバース・インデックス,ｉＦＪ４００Ｗベア
1469,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,４００ベア２倍
1472,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,ＮＦＪ４００Ｄインバ
1473,Ｏｎｅ　ＥＴＦ　トピックス,Ｏｎｅ・トピックス
1474,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,Ｏｎｅ・ＪＰＸ４００
1475,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,ｉＳＴＯＰＩＸ
1476,ｉシェアーズ・コア　Ｊリート　ＥＴＦ,ｉＳＪリート
1477,ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ,ｉＳＭＳＣＩ最小分散
1478,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ,ｉＳＭＳＣＩ高配当
1479,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株人材設備投資指数,ｉＦＭＳＣＩ人材設備
1480,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信,ＮＦ企業価値
1481,上場インデックスファンド日本経済貢献株,上場日本経済貢献
1482,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ（為替ヘッジあり）,ｉＳ米国債七十円へジ
1483,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ,ｉＳ設備人材
1484,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数,Ｏｎｅ・設備人材投資
1485,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信,ＭＸＳ　Ｊ積極投資
1486,上場インデックスファンド米国債券（為替ヘッジなし）,上場米債ヘッジなし
1487,上場インデックスファンド米国債券（為替ヘッジあり）,上場米債ヘッジあり
1488,ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数,ｉＦＪリート
1489,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,ＮＦ日経高配当５０
1490,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）,上場ベータヘッジ
1491,中外鉱業,中外鉱
1493,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,Ｏｎｅ・中小型
1494,Ｏｎｅ　ＥＴＦ　高配当日本株,Ｏｎｅ・高配当日本株
1495,上場インデックスファンドアジアリート,上場アジアリート
1496,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）,ｉＳ米＄ＩＧ社債ヘジ
1497,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）,ｉＳ米＄ＨＹ社債ヘジ
1498,Ｏｎｅ　ＥＴＦ　ＥＳＧ,Ｏｎｅ・ＥＳＧ
1499,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信,ＭＸＳ高配当７０ＭＮ
1514,住石ホールディングス,住石ＨＤ
1515,日鉄鉱業,日鉄鉱
1518,三井松島ホールディングス,三井松島ＨＤ
1540,純金上場信託（現物国内保管型）,純金信託
1541,純プラチナ上場信託（現物国内保管型）,純プラ信
1542,純銀上場信託（現物国内保管型）,純銀信託
1543,純パラジウム上場信託（現物国内保管型）,純パラ信
1545,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジなし）連動型上場投信,ナスダックヘッジ無
1546,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジなし）連動型上場投信,ダウヘッジ無
1547,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,上場米国
1550,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信,ＭＸＳ外株
1551,東証スタンダードＴＯＰ２０ＥＴＦ,スタンダドＴＯＰ２０
1554,上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本,上場ＭＳ世
1555,上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ－ＲＥＩＴ）,上場Ａリート
1557,Ｓｔａｔｅ　Ｓｔｒｅｅｔ　ＳＰＤＲ　Ｓ＆Ｐ　５００　ＥＴＦ,ＳＰＤＲ５００
1559,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信,ＮＦタイ株
1560,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信,ＮＦマレーシア株
1563,東証グロース・コアＥＴＦ,東証グロース・コア
1566,上場インデックスファンド新興国債券,上場ＥＭ債
1568,ＴＯＰＩＸブル２倍上場投信,ＴＰレバレッジダブル
1569,ＴＯＰＩＸベア上場投信,トピックスインバース
1570,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信,ＮＦ日経レバ
1571,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信,ＮＦ日経インバ
1572,中国Ｈ株ブル２倍上場投信,Ｈ株レバレッジダブル
1573,中国Ｈ株ベア上場投信,Ｈ株インバース
1577,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信,ＮＦ日本高配当７０
1578,上場インデックスファンド日経２２５（ミニ）,上場２２５Ｍ
1579,日経平均ブル２倍上場投信,日経レバレッジダブル
1580,日経平均ベア上場投信,２２５インバース
1585,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,ｉＦＥＸ－Ｆ
1586,上場インデックスファンドＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,上場ＴＰＸ除く金融
1591,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信,ＮＦＪＰＸ４００
1592,上場インデックスファンドＪＰＸ日経インデックス４００,上場ＪＰＸ日経４００
1593,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信,ＭＸＳ４００
1595,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,ＮＺＡＭ　Ｊリート
1596,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,ＮＺＡＭ　Ｅｘ―Ｆ
1597,ＭＡＸＩＳ　Ｊリート上場投信,ＭＸＳ　Ｊリート
1599,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００,ｉＦＪＰＸ日経４００
1605,ＩＮＰＥＸ,ＩＮＰＥＸ
1615,ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信,ＮＦ銀行業
1617,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ－１７）上場投信,ＮＦ食品Ｔ１７
1618,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ－１７）上場投信,ＮＦエネ資源Ｔ１７
1619,ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰＩＸ－１７）上場投信,ＮＦ建設資材Ｔ１７
1620,ＮＥＸＴ　ＦＵＮＤＳ　素材・化学（ＴＯＰＩＸ－１７）上場投信,ＮＦ素材化学Ｔ１７
1621,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ－１７）上場投信,ＮＦ医薬品Ｔ１７
